ticker,model_hash,origin_train_label,train_start,train_end,seed,generation,best_fitness,mean_fitness,best_passed_count,best_precision,best_recall,best_coverage,best_lift,best_pass_probability,decision_threshold,best_group_thresholds,fitness_stress_passed_count,fitness_stress_precision,fitness_precision_gap,fitness_adjusted_precision,fitness_consistency_penalty_points,fitness_consistency_lambda,generations_run,population,configured_generations,patience,feature_count,group_count,unweighted_group_count,group_between_and,g3_member_percentile_floor,parallel_worker_pid,parallel_worker_count_limit,stress_role,gene_domain_source,fallback_source
AAP,d0590baf8fedec06fe7300c12122c9ac76e6bf85bc571e612360e00f68473c52,train_1,2022-07-01,2023-06-30,1767114315,1,-28.488063661425223,-97999.23911900743,76,0.2236842105263158,0.2537313432835821,0.30278884462151395,-0.043248060390018855,0.2236842105263158,0.45,"[2, 2, 2, 2]",99,0.36363636363636365,0.0,0.2236842105263158,0.0,0.5,50,100,50,15,14,4,True,True,0.15,609103,6,FITNESS_SCORER_ONLY,TRAIN_ONLY,TRAIN_ONLY
AAP,d0590baf8fedec06fe7300c12122c9ac76e6bf85bc571e612360e00f68473c52,train_1,2022-07-01,2023-06-30,1767114315,2,-19.32520494335523,-90769.41424298802,48,0.25,0.1791044776119403,0.19123505976095617,-0.016932270916334646,0.25,0.45,"[2, 3, 2, 2]",49,0.40816326530612246,0.0,0.25,0.0,0.5,50,100,50,15,14,4,True,True,0.15,609103,6,FITNESS_SCORER_ONLY,TRAIN_ONLY,TRAIN_ONLY
AAP,d0590baf8fedec06fe7300c12122c9ac76e6bf85bc571e612360e00f68473c52,train_1,2022-07-01,2023-06-30,1767114315,3,-9.484196411561555,-78953.02831306407,91,0.26373626373626374,0.3582089552238806,0.36254980079681276,-0.0031960071800709033,0.26373626373626374,0.45,"[2, 2, 2, 2]",133,0.3308270676691729,0.0,0.26373626373626374,0.0,0.5,50,100,50,15,14,4,True,True,0.15,609103,6,FITNESS_SCORER_ONLY,TRAIN_ONLY,TRAIN_ONLY
AAP,d0590baf8fedec06fe7300c12122c9ac76e6bf85bc571e612360e00f68473c52,train_1,2022-07-01,2023-06-30,1767114315,4,-9.484196411561555,-56263.86183234622,91,0.26373626373626374,0.3582089552238806,0.36254980079681276,-0.0031960071800709033,0.26373626373626374,0.45,"[2, 2, 2, 2]",133,0.3308270676691729,0.0,0.26373626373626374,0.0,0.5,50,100,50,15,14,4,True,True,0.15,609103,6,FITNESS_SCORER_ONLY,TRAIN_ONLY,TRAIN_ONLY
AAP,d0590baf8fedec06fe7300c12122c9ac76e6bf85bc571e612360e00f68473c52,train_1,2022-07-01,2023-06-30,1767114315,5,8.541071314642494,-46012.02013943914,113,0.3008849557522124,0.5074626865671642,0.450199203187251,0.03395268483587777,0.3008849557522124,0.45,"[2, 2, 2, 2]",144,0.3541666666666667,0.0,0.3008849557522124,0.0,0.5,50,100,50,15,14,4,True,True,0.15,609103,6,FITNESS_SCORER_ONLY,TRAIN_ONLY,TRAIN_ONLY
AAP,d0590baf8fedec06fe7300c12122c9ac76e6bf85bc571e612360e00f68473c52,train_1,2022-07-01,2023-06-30,1767114315,6,8.541071314642494,-51354.12673221661,113,0.3008849557522124,0.5074626865671642,0.450199203187251,0.03395268483587777,0.3008849557522124,0.45,"[2, 2, 2, 2]",144,0.3541666666666667,0.0,0.3008849557522124,0.0,0.5,50,100,50,15,14,4,True,True,0.15,609103,6,FITNESS_SCORER_ONLY,TRAIN_ONLY,TRAIN_ONLY
AAP,d0590baf8fedec06fe7300c12122c9ac76e6bf85bc571e612360e00f68473c52,train_1,2022-07-01,2023-06-30,1767114315,7,21.922135877809353,-30961.430715993545,80,0.3375,0.40298507462686567,0.3187250996015936,0.07056772908366538,0.3375,0.45,"[2, 3, 2, 2]",114,0.37719298245614036,0.0,0.3375,0.0,0.5,50,100,50,15,14,4,True,True,0.15,609103,6,FITNESS_SCORER_ONLY,TRAIN_ONLY,TRAIN_ONLY
AAP,d0590baf8fedec06fe7300c12122c9ac76e6bf85bc571e612360e00f68473c52,train_1,2022-07-01,2023-06-30,1767114315,8,57.81994126629688,-23686.812475419632,34,0.4411764705882353,0.22388059701492538,0.13545816733067728,0.17424419967190063,0.4411764705882353,0.45,"[3, 3, 2, 2]",73,0.410958904109589,0.030217566478646263,0.42606768734891215,3.323932312651089,0.5,50,100,50,15,14,4,True,True,0.15,609103,6,FITNESS_SCORER_ONLY,TRAIN_ONLY,TRAIN_ONLY
AAP,d0590baf8fedec06fe7300c12122c9ac76e6bf85bc571e612360e00f68473c52,train_1,2022-07-01,2023-06-30,1767114315,9,57.81994126629688,-34877.21709677287,34,0.4411764705882353,0.22388059701492538,0.13545816733067728,0.17424419967190063,0.4411764705882353,0.45,"[3, 3, 2, 2]",73,0.410958904109589,0.030217566478646263,0.42606768734891215,3.323932312651089,0.5,50,100,50,15,14,4,True,True,0.15,609103,6,FITNESS_SCORER_ONLY,TRAIN_ONLY,TRAIN_ONLY
AAP,d0590baf8fedec06fe7300c12122c9ac76e6bf85bc571e612360e00f68473c52,train_1,2022-07-01,2023-06-30,1767114315,10,57.81994126629688,-37252.05091567071,34,0.4411764705882353,0.22388059701492538,0.13545816733067728,0.17424419967190063,0.4411764705882353,0.45,"[3, 3, 2, 2]",73,0.410958904109589,0.030217566478646263,0.42606768734891215,3.323932312651089,0.5,50,100,50,15,14,4,True,True,0.15,609103,6,FITNESS_SCORER_ONLY,TRAIN_ONLY,TRAIN_ONLY
